"SKU","Inbound Freight & Insurance","Warehouse Storage","Amazon FBA","Expected Product Life","Modified","Modified By"
"Scale_Elite","0.78","0.26778666","0.21","5","4/3/2025 2:52 PM","Simon Zhu"
"WYZECPAN4","0.42","0.067861879","0","36","4/3/2025 2:51 PM","Simon Zhu"
"WPLCK1","4.01","0.089787051","6.79","36","8/6/2025 8:19 AM","Simon Zhu"
"WYZECPAN3","0.42","0.067861879","0","36","4/3/2025 2:39 PM","Simon Zhu"
"WYZEC4WH","0.4","0.020739375","0","36","4/3/2025 2:39 PM","Simon Zhu"
"WYZECGS","0.2","0.018340236","0","36","4/3/2025 2:39 PM","Simon Zhu"
"WYZEC3","0.1","0.1091547","0","36","4/3/2025 2:39 PM","Simon Zhu"
"WYZECPAN3X2","0.84","0.10954","0","36","4/3/2025 2:39 PM","Simon Zhu"
"WYZECPAN3_BK","0.44","0.045550625","0","36","4/3/2025 2:39 PM","Simon Zhu"
"WYZEMSD32C10","0.02","0.000197016","0","36","4/3/2025 2:39 PM","Simon Zhu"
"WYZEC4GY","0.4","0.020911757","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WLPNL","0.09","0.0265","0.3525","36","4/9/2025 12:00 PM","Marian Pan"
"WYZECFL2","1.76","0.287313943","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZECGS-RB","0.2","0.027998682","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WVDWDV2","1.2","0.025630957","0","36","1/9/2026 1:43 PM","Marian Pan"
"WYZEMSD128C10","0.03","0.000196736","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZECGSX2","0.4","0.028488802","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WLPP1","0.16","0.0226","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZECGSB","0.2","0.018340234","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZEC3X2","0.2","0.218309029","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZEC4BK","0.4","0.020739375","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZEC4WH-10","0.4","0.016140593","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZECOP","0.51","0.068706301","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WSCALX","0.78","0.26778666","0.9675","36","4/8/2025 3:05 PM","Marian Pan"
"WYZECFL2BL","1.76","0.287313913","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WCVV2CD","3.68","5.6037852","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WSES2-3PK","0.03","0.03040583","0","36","12/15/2025 1:07 PM","Marian Pan"
"WYZECPAN3BKX2","0.9","0.086719135","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZEC4WHX2","0.8","0.04147875","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WVDPC","1.95","0.057478967","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZEC3BK","0.1","0.001197519","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZEMSD256C10","0.03","0.000181636","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZELS1","0.08","0.032221611","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WSCALX-W","0.78","0.26748","0.9675","36","4/8/2025 3:05 PM","Marian Pan"
"WYZEWMV2","0.04","0.006374458","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WSP2W","0.28","0.067913438","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WLCKB1","0.81","0.089787051","6.79","36","4/8/2025 10:07 AM","Marian Pan"
"WLPA19C4PK","0.4","0.232588429","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZECOP_RB2PK","1.02","0.009716366","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZECOPB","0.52","0.057255256","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WLPA19V2-2PK","0.18","0.055818494","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZEC4BKX2","0.8","0.052394209","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WSCALS","0.66","0.22299282","0.9375","36","4/8/2025 11:35 AM","Marian Pan"
"WYZEC4WHCP62PK","0.8","0.087323684","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZECFLP","1.61","0.455262188","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WLPA19C2PK","0.18","0.055818494","0","36","4/3/2025 2:40 PM","Simon Zhu"
"WYZEOPAV3","0.23","0.109575252","0","36","4/4/2025 6:52 AM","Simon Zhu"
"WYZEC-DUO-WH","0.36","0.067861879","0","36","4/4/2025 10:43 AM","Marian Pan"
"WVOD3","0.33","0.068706301","0","36","4/4/2025 11:45 AM","Marian Pan"
"WYZEBDB","0.36","0.057478967","0","36","4/7/2025 12:19 PM","Marian Pan"
"WVDB-DUO-BL","3.84","0.067",,"36","12/17/2025 5:42 PM","Marian Pan"
"WYZEC-BC","0.3","0.07",,"36","12/23/2025 1:57 PM","Marian Pan"
"WYZELS2","0.08","0.032221611","0","36","4/8/2025 11:16 AM","Simon Zhu"
"WL_SCLUB","0.47","0.26778666","0.9225","36","4/8/2025 3:44 PM","Simon Zhu"
"WLCKB2","1.01","0.089787051","6.79","36","4/9/2025 1:36 PM","Simon Zhu"
"WLPA19C2PK v3","0.18","0.055818494","0","36","4/9/2025 2:13 PM","Simon Zhu"
"WYZECPANOG","0.42","0.067861879","0","36","4/15/2025 2:02 PM","Simon Zhu"
"WYZEC-BC-AB","0.18","0.055818494","0","0","12/3/2025 4:04 PM","Simon Zhu"
"WYZEC-BCP","0.3","0.07",,"36","11/19/2025 9:57 AM","Meng Cheng"
"WYZESNAPCAM","0.2","0.018340236","0","36","7/11/2025 10:41 AM","Simon Zhu"
"WSHB1","0.12","0.03040583","0","36","12/15/2025 12:18 PM","Marian Pan"
"WYZESLS31","0.11","0.03040583","0","36","7/15/2025 1:40 PM","Marian Pan"
"WSMS2","0.07","0.03040583","0","36","7/15/2025 1:40 PM","Marian Pan"
"WSCS3PK","0.04","0.03040583","0","36","7/15/2025 2:10 PM","Marian Pan"
"WSKP1","0.11","0.03040583","0","36","7/15/2025 4:02 PM","Marian Pan"
"WSLSP2","0.04","0.03040583","0","36","7/15/2025 4:16 PM","Marian Pan"
"WLPPO1-1","0.32","0.0226","0","36","7/16/2025 10:05 AM","Marian Pan"
"WLPA19CV2-2PK","0.29","0.055818494","0","72","12/17/2025 12:07 PM","Marian Pan"
"WLPA19CV2-4PK","0.59","0.055818494","0","36","7/16/2025 10:55 AM","Marian Pan"
"WYZEC_DUO_PAN_Tele","0.42","0.067861879","0","36","8/6/2025 12:15 PM","Simon Zhu"
"WYZEC_DUO_PAN_Pro","0.42","0.067861879","0","36","8/6/2025 12:15 PM","Simon Zhu"
"WYZEDASH","0.36","0.067861879","0","36","8/26/2025 2:03 PM","Simon Zhu"
"WYZEMN","0.4","0.020739375","0","36","9/4/2025 11:53 PM","Simon Zhu"
"WYZEC-BC-2PK","0.6","0.14",,"72","9/25/2025 3:10 PM","Simon Zhu"
"Scale Lite","0.66","0.22299282","0.9375","36","9/26/2025 8:25 AM","Simon Zhu"
"WYZEC4_4K","0.4","0.020739375","0","36","10/2/2025 9:53 AM","Simon Zhu"
"WYZEWCWH","0.2","0.018340236","0","36","11/19/2025 8:37 AM","Simon Zhu"
"WYZECPAN_LITE","0.44","0.045550625","0","36","11/20/2025 12:26 PM","Simon Zhu"
"WDCDOBL","0.7407","0.067",,"36","12/18/2025 12:11 AM","Marian Pan"
"WYZEBVD","1.95","0.057478967","0","36","2/5/2026 11:47 PM","Simon Zhu"
"Bulb Cam Pan","0.3","0.07",,"36","2/9/2026 12:02 PM","Simon Zhu"
"Wyze OG v2","0.2","0.018340236","0","36","2/11/2026 1:41 AM","Simon Zhu"
"Battery Cam Solar","0.3","0.068706301","0","36","2/13/2026 12:14 PM","Marian Pan"
